start;end;soc;länge
9206;9227;637,32;22
9230;9240;637,32;11
9327;9338;644,64;14
9375;9387;3509,07;15
9418;9437;555,38;22
9451;9471;3539,91;23
9476;9496;3452,24;23
9522;9533;663,78;14
9639;9659;3539,93;23
9663;9673;3539,93;13
9683;9698;2309,00;18
9714;9726;288,96;15
9768;9789;3486,73;22
9792;9813;3486,73;22
9816;9837;3486,73;22
9840;9870;3486,73;31
9874;9884;2707,69;13
9904;9918;614,30;17
9990;10007;705,10;20
10036;10057;3539,93;22
10060;10085;3539,93;26
10092;10113;3255,26;22
10116;10140;3255,26;25
10147;10163;3442,18;19
10171;10192;2917,66;22
10195;10218;2917,66;24
10221;10246;3510,30;26
10285;10294;539,43;12
10311;10326;3539,93;18
10362;10372;333,87;13
10375;10393;321,67;21
10407;10430;3539,93;24
10434;10443;3539,93;12
10452;10473;436,07;22
10476;10490;436,07;15
10508;10537;3539,93;30
10602;10623;3539,93;24
10628;10649;3539,93;24
10689;10698;349,02;12
10725;10734;3539,93;12
10744;10754;2587,26;13
10799;10809;421,01;13
10853;10873;688,90;23
10893;10915;3539,93;23
10949;10959;555,71;13
10981;11004;3539,93;24
11052;11065;285,77;16
11099;11131;3521,92;33
11147;11168;2443,49;22
11171;11186;2443,49;16
11280;11289;3539,93;12
11372;11400;3539,93;29
11571;11586;3539,93;18
11653;11674;3539,93;22
11677;11687;3539,93;11
11750;11771;3539,93;22
11774;11784;3539,93;11
11824;11834;622,41;13
11876;11899;3539,93;24
11931;11956;1118,56;26
11973;11990;3539,93;20
11999;12008;3385,66;12
12017;12038;3335,65;22
12041;12066;3335,65;26
12136;12152;3539,93;19
12239;12248;3539,93;12
12280;12295;622,31;18
12331;12354;3539,93;24
12396;12408;304,66;15
12424;12454;3539,93;31
12482;12506;612,80;25
12542;12555;3402,86;16
12585;12596;756,06;14
12621;12638;3539,93;20
12711;12722;3539,93;14
12760;12782;731,89;23
12809;12824;3539,93;18
12903;12922;3539,93;22
12997;13019;3539,93;23
13059;13068;335,35;12
13071;13080;328,31;12
13093;13114;3539,93;22
13117;13127;3539,93;11
13141;13162;505,03;22
13165;13175;505,03;11
13191;13201;3539,93;13
13232;13253;622,43;22
13256;13267;622,43;12
13287;13308;3539,93;22
13311;13322;3539,93;12
13329;13342;2815,27;16
13407;13422;3430,35;18
13451;13464;670,25;16
13512;13534;3539,93;23
13537;13558;3270,85;22
13561;13589;3270,85;29
13593;13608;3524,52;18
13627;13636;546,96;12
13640;13655;507,08;18
13673;13702;3539,93;30
13726;13753;311,05;28
13766;13787;3539,93;22
13790;13802;3539,93;13
13814;13823;564,09;12
13828;13843;269,17;18
13861;13882;3539,93;22
13885;13897;3539,93;13
13910;13939;468,73;30
13974;13995;3539,93;24
14008;14026;2140,51;21
14030;14050;1875,81;23
14061;14076;3211,09;18
14114;14128;687,47;17
14198;14214;671,77;19
14245;14266;3539,93;22
14269;14279;3539,93;11
14294;14323;585,94;30
14342;14363;3539,93;22
14366;14379;3539,93;14
14435;14456;3539,93;22
14459;14491;3539,93;33
14506;14527;2051,64;22
14530;14546;2051,64;17
14581;14610;561,50;30
14631;14652;3539,93;22
14655;14680;3539,93;26
14688;14709;3450,87;22
14712;14733;3450,87;22
14736;14757;3450,87;22
14760;14770;3450,87;11
14845;14854;3093,86;12
14865;14886;496,11;22
14889;14905;496,11;17
14923;14947;3539,93;25
14952;14973;3420,67;24
15036;15047;3539,93;14
15074;15097;320,13;24
15114;15139;3539,93;26
15152;15173;319,72;22
15176;15192;319,72;17
15217;15236;3539,93;22
15254;15281;673,66;28
15304;15319;3539,93;18
15352;15371;694,04;22
15397;15425;3539,93;29
15525;15542;3453,05;20
15615;15636;3036,58;24
15655;15682;637,53;28
15711;15730;3388,89;22
15761;15771;323,32;13
15798;15819;3539,93;22
15822;15840;3539,93;19
15854;15869;533,67;18
15873;15882;136,50;12
15885;15895;44,56;13
15906;15922;3539,93;19
15941;15962;2034,74;22
15965;15977;2034,74;13
16070;16091;3539,93;22
16094;16113;3539,93;20
16155;16165;188,14;13
16174;16186;3539,93;15
16214;16241;709,57;28
16263;16272;3539,93;12
16289;16313;3539,93;25
16382;16393;3539,93;14
16421;16442;307,86;24
16466;16489;3539,93;24
16503;16512;489,35;12
16563;16572;3539,93;12
16650;16677;3539,93;28
