zeitraum_id;start;end;soc;länge;länge_stunden;soc_variation;avg_aktivität;max_aktivität;qualität_score;typ
936;31252;31299;3421,700;48;12,000;361,760;30,150;1034,160;0,480;niedrig_aktiv
192;8795;8831;3532,110;37;9,250;292,780;31,650;1171,120;0,479;niedrig_aktiv
794;25820;25867;3155,790;48;12,000;392,150;32,680;1568,600;0,479;niedrig_aktiv
845;27700;27728;3248,730;29;7,250;6,640;31,920;899,080;0,479;niedrig_aktiv
866;28472;28501;3310,600;30;7,500;243,890;32,520;975,560;0,479;niedrig_aktiv
911;30245;30292;3447,880;48;12,000;168,780;31,970;164,960;0,479;niedrig_aktiv
925;30764;30811;3475,670;48;12,000;167,960;31,950;473,640;0,479;niedrig_aktiv
30;1393;1440;3465,000;48;12,000;147,840;33,490;429,920;0,478;niedrig_aktiv
166;7829;7876;3444,180;48;12,000;231,060;33,640;305,800;0,478;niedrig_aktiv
256;10507;10538;3531,730;32;8,000;261,940;32,740;1047,760;0,478;niedrig_aktiv
409;15151;15195;323,610;45;11,250;255,410;33,020;861,920;0,478;niedrig_aktiv
812;26393;26440;2759,770;48;12,000;392,990;32,750;1571,960;0,478;niedrig_aktiv
939;31396;31436;3382,740;41;10,250;307,050;34,120;178,160;0,478;niedrig_aktiv
246;10195;10219;2788,270;25;6,250;214,750;35,510;211,680;0,477;niedrig_aktiv
776;25141;25188;2979,040;48;12,000;332,100;35,090;1328,400;0,477;niedrig_aktiv
950;31865;31912;2972,710;48;12,000;421,560;35,130;1686,240;0,477;niedrig_aktiv
171;8069;8116;3400,890;48;12,000;279,730;37,080;205,880;0,476;niedrig_aktiv
612;20543;20571;464,780;29;7,250;266,280;36,730;803,570;0,476;niedrig_aktiv
708;23222;23267;443,900;46;11,500;399,320;35,960;980,600;0,476;niedrig_aktiv
870;28574;28621;3178,870;48;12,000;435,850;36,320;900,480;0,476;niedrig_aktiv
93;4376;4423;2452,480;48;12,000;330,480;38,110;507,440;0,475;niedrig_aktiv
110;5155;5202;3492,150;48;12,000;127,950;38,000;189,080;0,475;niedrig_aktiv
779;25285;25331;3479,610;47;11,750;275,380;37,380;655,160;0,475;niedrig_aktiv
843;27604;27651;3514,110;48;12,000;293,140;37,460;1172,560;0,475;niedrig_aktiv
851;27939;27986;2725,070;48;12,000;455,250;37,940;1596,120;0,475;niedrig_aktiv
903;29941;29988;3115,400;48;12,000;449,660;37,470;1724,080;0,475;niedrig_aktiv
910;30197;30244;3506,820;48;12,000;232,590;38,370;785,640;0,475;niedrig_aktiv
960;32304;32351;3505,050;48;12,000;169,860;37,930;206,920;0,475;niedrig_aktiv
82;3848;3895;3361,520;48;12,000;257,160;40,230;241,120;0,474;niedrig_aktiv
109;5107;5154;3459,160;48;12,000;372,590;40,260;973,560;0,474;niedrig_aktiv
657;21789;21835;2200,670;47;11,750;385,480;39,720;1541,910;0,474;niedrig_aktiv
807;26167;26214;3148,340;48;12,000;438,080;40,080;1752,320;0,474;niedrig_aktiv
953;31968;32015;3375,240;48;12,000;475,760;40,160;399,080;0,474;niedrig_aktiv
984;33419;33466;3372,600;48;12,000;279,110;39,780;339,040;0,474;niedrig_aktiv
153;7205;7252;3397,190;48;12,000;113,870;40,820;237,400;0,473;niedrig_aktiv
285;11371;11401;3529,840;31;7,750;312,450;40,320;1249,800;0,473;niedrig_aktiv
797;25914;25959;1816,880;46;11,500;473,770;41,200;1895,080;0,473;niedrig_aktiv
815;26546;26593;3529,220;48;12,000;438,010;40,740;1580,360;0,473;niedrig_aktiv
887;29270;29317;3133,140;48;12,000;490,470;40,870;1621,280;0,473;niedrig_aktiv
1015;34805;34839;3325,330;35;8,750;354,620;40,530;841,000;0,473;niedrig_aktiv
84;3944;3991;3372,420;48;12,000;393,550;42,950;273,440;0,472;niedrig_aktiv
152;7157;7204;3462,350;48;12,000;292,630;42,350;328,760;0,472;niedrig_aktiv
229;9765;9812;3470,600;48;12,000;511,230;42,600;1161,720;0,472;niedrig_aktiv
805;26110;26142;711,780;33;8,250;297,750;41,960;767,320;0,472;niedrig_aktiv
933;31160;31185;3526,670;26;6,500;273,050;42,010;822,120;0,472;niedrig_aktiv
28;1297;1344;3467,050;48;12,000;300,400;44,510;440,040;0,471;niedrig_aktiv
351;13286;13323;3529,040;38;9,500;413,340;43,510;1653,360;0,471;niedrig_aktiv
659;21844;21891;3474,840;48;12,000;529,120;44,090;1493,140;0,471;niedrig_aktiv
821;26827;26874;3427,140;48;12,000;332,450;44,040;783,920;0,471;niedrig_aktiv
952;31920;31967;3477,240;48;12,000;529,620;44,130;1049,360;0,471;niedrig_aktiv
53;2457;2504;3306,580;48;12,000;461,720;45,510;326,960;0,470;niedrig_aktiv
126;5923;5970;3504,870;48;12,000;179,440;45,930;268,680;0,470;niedrig_aktiv
181;8549;8596;3448,620;48;12,000;389,750;46,060;1495,130;0,470;niedrig_aktiv
434;15872;15896;129,790;25;6,250;288,510;46,160;786,280;0,470;niedrig_aktiv
675;22312;22347;3528,540;36;9,000;405,080;45,010;1620,330;0,470;niedrig_aktiv
881;29040;29072;3528,270;33;8,250;379,400;45,990;1517,600;0,470;niedrig_aktiv
908;30181;30192;2616,060;12;3,000;135,580;45,190;542,320;0,470;niedrig_aktiv
1006;34417;34464;3368,270;48;12,000;550,610;45,880;1077,520;0,470;niedrig_aktiv
54;2505;2552;3321,830;48;12,000;498,040;46,430;315,160;0,469;niedrig_aktiv
67;3129;3176;3475,430;48;12,000;387,700;47,730;388,640;0,469;niedrig_aktiv
244;10131;10146;3132,320;16;4,000;27,910;46,730;636,040;0,469;niedrig_aktiv
345;13041;13086;344,760;46;11,500;485,470;46,400;1093,720;0,469;niedrig_aktiv
534;18472;18510;3528,450;39;9,750;262,820;47,060;1051,280;0,469;niedrig_aktiv
630;20967;21007;3528,010;41;10,250;483,610;47,180;1934,440;0,469;niedrig_aktiv
239;10000;10013;669,230;14;3,500;170,150;48,610;618,920;0,468;niedrig_aktiv
679;22420;22450;3523,630;31;7,750;379,200;48,930;1029,130;0,468;niedrig_aktiv
755;24429;24457;3525,610;29;7,250;350,000;48,280;1157,560;0,468;niedrig_aktiv
877;28856;28903;3322,350;48;12,000;574,980;47,910;1027,200;0,468;niedrig_aktiv
912;30293;30340;3433,340;48;12,000;360,440;48,250;257,280;0,468;niedrig_aktiv
1017;34903;34950;3454,760;48;12,000;581,950;48,500;1489,040;0,468;niedrig_aktiv
564;19188;19225;450,420;38;9,500;455,550;49,900;1681,440;0,467;niedrig_aktiv
605;20423;20441;3149,450;19;4,750;239,720;50,470;958,890;0,467;niedrig_aktiv
982;33323;33370;3395,870;48;12,000;323,960;50,260;1184,600;0,467;niedrig_aktiv
27;1249;1296;3471,570;48;12,000;250,940;50,930;184,480;0,466;niedrig_aktiv
151;7109;7156;3440,090;48;12,000;285,050;51,030;778,840;0,466;niedrig_aktiv
548;18765;18797;3526,940;33;8,250;428,260;51,910;1713,040;0,466;niedrig_aktiv
813;26441;26485;3244,230;45;11,250;579,010;51,470;778,800;0,466;niedrig_aktiv
832;27266;27312;686,790;47;11,750;378,200;52,100;1512,800;0,466;niedrig_aktiv
888;29318;29332;3072,190;15;3,750;54,680;51,050;547,080;0,466;niedrig_aktiv
145;6830;6877;3364,740;48;12,000;426,960;53,230;262,240;0,465;niedrig_aktiv
172;8117;8164;3379,740;48;12,000;352,550;53,860;366,960;0,465;niedrig_aktiv
365;13672;13703;3526,480;32;8,000;430,060;53,760;1720,240;0,465;niedrig_aktiv
704;23039;23086;1063,710;48;12,000;324,680;53,000;1298,720;0,465;niedrig_aktiv
706;23120;23167;283,250;48;12,000;632,110;53,730;1156,330;0,465;niedrig_aktiv
890;29381;29428;3435,520;48;12,000;316,560;52,760;1266,240;0,465;niedrig_aktiv
929;30956;31003;3471,700;48;12,000;181,730;52,520;689,480;0,465;niedrig_aktiv
959;32256;32303;3390,190;48;12,000;471,930;53,200;365,680;0,465;niedrig_aktiv
967;32640;32687;3366,630;48;12,000;570,810;53,940;448,480;0,465;niedrig_aktiv
481;17076;17115;317,620;40;10,000;434,930;54,880;1444,840;0,464;niedrig_aktiv
527;18203;18229;3354,710;27;6,750;271,290;54,670;1085,160;0,464;niedrig_aktiv
543;18671;18697;3520,440;27;6,750;369,440;54,730;852,080;0,464;niedrig_aktiv
680;22462;22507;261,870;46;11,500;621,120;54,310;1426,440;0,464;niedrig_aktiv
