strategie_id;zeitraum_id;strategie_typ;start_index;end_index;länge_stunden;basis_soc;max_soc_erreicht;min_soc_erreicht;gesamte_lademenge;gesamte_entlademenge;profit_euro
792;1066;Aggressiv;34684;34705;5.5;3453.38;3800.0;1630.01;2348.715;2348.725;25.52
57;99;Entlade-Lade;2374;2395;5.5;3192.38;3192.39;1960.9;1231.48;1231.4875000000002;25.45
21;38;Einfach;892;913;5.5;3454.92;3454.92;2086.72;1368.2;1368.1925;25.28
286;499;Aggressiv;14845;14854;2.5;3093.86;3800.0;3093.86;706.145;706.1324999999999;25.17
164;344;Entlade-Lade;8326;8347;5.5;3318.67;3318.67;2016.65;1302.0275000000001;1302.02;25.11
165;345;Einfach;8350;8371;5.5;3318.67;3318.67;1461.3;1938.6375;1938.63;25.09
285;499;Einfach;14845;14854;2.5;3093.86;3799.77;3093.86;705.9225;705.91;25.09
541;791;Einfach;27221;27242;5.5;3405.48;3799.97;3206.77;679.85;679.8375;24.98
736;1040;Entlade-Lade;34065;34086;5.5;3402.08;3402.1;2707.91;694.16;694.1600000000001;24.82
730;1038;Aggressiv;34017;34038;5.5;3402.08;3799.82;1363.53;2436.2875;2436.2825;24.66
570;830;Einfach;28473;28495;5.75;3508.95;3799.98;2143.62;1656.365;1656.37;24.55
384;610;Einfach;20424;20440;4.25;3136.79;3798.94;1799.86;1999.0875;1999.0775;24.5
429;665;Einfach;22898;22922;6.25;3450.86;3799.98;3382.12;699.7275;699.7275;24.49
753;1049;Einfach;34270;34291;5.5;3408.89;3799.33;2279.5;1519.8525000000002;1519.83;24.4
135;287;Einfach;6971;6992;5.5;3509.55;3799.98;3040.11;759.8675;759.8625;24.18
234;439;Einfach;12482;12506;6.25;612.8;1667.28;393.36;1273.915;1273.9275;24.09
252;460;Einfach;13407;13422;4.0;3430.35;3799.98;2994.68;963.5825;963.5875;23.61
379;602;Aggressiv;19887;19897;2.75;428.38;2085.63;324.98;1760.665;1760.6599999999999;23.47
743;1044;Entlade-Lade;34150;34171;5.5;3408.89;3408.85;2732.71;676.1800000000001;676.17;23.46
768;1056;Aggressiv;34446;34467;5.5;3390.09;3798.32;1194.88;2603.4375;2603.4425;23.38
29;42;Einfach;988;1009;5.5;3454.92;3454.92;1019.73;2435.1775000000002;2435.1925;23.14
809;1075;Einfach;34931;34952;5.5;3477.34;3605.02;2377.92;1227.0925;1227.0900000000001;23.09
747;1046;Aggressiv;34198;34219;5.5;3408.89;3800.0;2249.07;1550.935;1550.935;22.95
518;767;Aggressiv;26585;26606;5.5;3539.87;3590.99;200.0;3390.985;3390.9725;22.88
675;977;Aggressiv;32476;32497;5.5;3418.32;3634.74;200.0;3434.7275;3434.7175;22.84
343;554;Einfach;17435;17444;2.5;2841.06;3791.25;2841.07;950.2025;950.1925;22.79
560;815;Einfach;27940;27961;5.5;2741.41;3798.34;2741.42;1056.9275;1056.93;22.73
35;66;Aggressiv;1576;1597;5.5;3190.3;3190.29;1540.73;1649.565;1649.565;22.67
243;453;Einfach;13165;13175;2.75;505.03;1645.7;423.5;1222.2075;1222.2025;22.5
386;612;Einfach;20506;20523;4.5;3539.87;3799.98;3539.87;260.1225;260.1125;22.46
27;41;Aggressiv;964;985;5.5;3454.92;3645.78;214.33;3431.46;3431.46;22.45
219;403;Einfach;10476;10490;3.75;436.07;1677.14;255.94;1421.185;1421.2;22.35
565;824;Aggressiv;28260;28281;5.5;3408.64;3408.65;2130.19;1278.465;1278.4524999999999;22.34
752;1048;Entlade-Lade;34246;34267;5.5;3408.89;3408.93;2749.49;659.4225;659.4;22.2
548;794;Entlade-Lade;27291;27307;4.25;673.47;673.47;203.83;469.6525;469.63;22.07
531;787;Einfach;27125;27146;5.5;3405.48;3799.97;3259.96;700.015;700.015;22.05
200;379;Entlade-Lade;9683;9698;4.0;2309.0;2308.99;1232.23;1076.7525;1076.7675;22.03
344;554;Aggressiv;17435;17444;2.5;2841.06;3799.8;2841.06;1025.35;1025.3525;22.02
716;1031;Aggressiv;33846;33874;7.25;3539.87;3800.0;2106.15;1693.845;1693.85;22.01
653;935;Aggressiv;31429;31450;5.5;3195.73;3195.74;1487.71;1708.035;1708.0175;21.97
616;882;Aggressiv;29942;29963;5.5;3108.85;3108.84;1843.18;1265.6625;1265.6625;21.8
511;762;Einfach;26449;26470;5.5;3330.69;3799.97;3330.69;611.325;611.3325;21.63
660;952;Entlade-Lade;31866;31887;5.5;2941.16;2941.19;1789.23;1151.9450000000002;1151.935;21.63
9;10;Einfach;217;238;5.5;1200.0;2311.09;204.0;2107.0975;2107.0975;21.59
590;852;Einfach;29147;29166;5.0;3238.67;3799.96;2968.4;831.5625;831.555;21.51
352;560;Einfach;17811;17837;6.75;3539.93;3799.98;3539.95;260.0475;260.03499999999997;21.49
144;291;Einfach;7067;7088;5.5;3509.55;3799.98;3408.32;391.65250000000003;391.665;21.46
530;786;Entlade-Lade;27089;27114;6.5;3142.1;3142.1;2379.78;762.295;762.3225;21.37
253;460;Aggressiv;13407;13422;4.0;3430.35;3800.0;2843.7;1021.535;1021.54;21.16
501;754;Einfach;26245;26266;5.5;3144.67;3791.91;1755.43;2036.47;2036.4775;20.83
91;181;Einfach;4361;4382;5.5;3479.93;3479.89;2462.17;1017.7375000000001;1017.75;20.67
446;688;Einfach;23766;23791;6.5;3539.87;3800.0;3348.15;462.2525;462.255;20.66
725;1036;Einfach;33969;33990;5.5;3402.08;3635.15;2329.15;1306.0;1305.9975;20.54
505;756;Entlade-Lade;26293;26314;5.5;3144.67;3144.64;1630.71;1513.965;1513.96;20.53
767;1056;Einfach;34446;34467;5.5;3390.09;3550.69;2269.89;1362.645;1362.635;20.35
14;14;Einfach;313;334;5.5;1200.0;3599.33;1199.99;2399.3175;2399.33;20.29
373;597;Einfach;19644;19664;5.25;3441.7;3799.98;3441.69;465.075;465.0925;20.29
572;831;Aggressiv;28498;28511;3.5;3089.51;3331.95;933.08;2398.875;2398.87;20.26
578;834;Entlade-Lade;28601;28622;5.5;3305.91;3305.96;1892.72;1413.1925;1413.1975;20.1
39;68;Entlade-Lade;1624;1645;5.5;3190.3;3190.31;2122.78;1067.5225;1067.515;20.09
571;831;Einfach;28498;28511;3.5;3089.51;3089.5;1273.56;1815.93;1815.9325;20.08
608;877;Entlade-Lade;29794;29815;5.5;3523.79;3523.79;2143.25;1380.53;1380.5325;19.95
807;1074;Einfach;34907;34928;5.5;3477.34;3799.9;2694.55;1105.355;1105.3425;19.9
378;602;Einfach;19887;19897;2.75;428.38;1823.97;354.22;1469.7575;1469.7425;19.76
591;852;Aggressiv;29147;29166;5.0;3238.67;3800.0;2262.26;1537.7325;1537.7475;19.76
599;857;Einfach;29271;29292;5.5;3134.55;3134.54;200.02;2934.5325;2934.5325;19.61
297;508;Einfach;15176;15192;4.25;319.72;1820.04;297.77;1522.2975000000001;1522.265;19.55
291;501;Aggressiv;14889;14905;4.25;496.11;2405.06;282.53;2122.5275;2122.525;19.53
425;658;Einfach;22708;22733;6.5;3539.9;3799.98;3539.9;260.08000000000004;260.08;19.45
36;67;Einfach;1600;1621;5.5;3190.3;3190.3;2198.5;991.8000000000001;991.8025;19.22
645;925;Einfach;31162;31184;5.75;3539.87;3799.98;1785.14;2014.8474999999999;2014.8400000000001;19.19
396;625;Aggressiv;21230;21241;3.0;402.86;2228.67;276.33;1952.3325;1952.3375;19.15
315;528;Einfach;16094;16113;5.0;3539.93;3799.98;3539.93;438.4825;438.4925;19.14
746;1046;Einfach;34198;34219;5.5;3408.89;3799.97;2647.89;1152.09;1152.06;19.04
19;31;Einfach;724;745;5.5;3454.92;3796.64;3195.98;600.675;600.655;18.97
41;70;Einfach;1672;1693;5.5;3190.3;3800.0;1358.45;2457.46;2457.45;18.97
181;363;Einfach;8867;8885;4.75;566.22;1201.28;200.02;1001.2649999999999;1001.27;18.93
733;1039;Aggressiv;34041;34062;5.5;3402.08;3800.0;2411.58;1388.4225;1388.4025;18.91
700;1008;Aggressiv;33218;33239;5.5;3258.91;3680.29;200.03;3480.2599999999998;3480.2575;18.89
717;1032;Einfach;33877;33898;5.5;3317.45;3616.61;2247.54;1369.06;1369.0625;18.89
729;1038;Einfach;34017;34038;5.5;3402.08;3656.77;2303.11;1353.67;1353.665;18.66
2;4;Einfach;73;94;5.5;1200.0;1200.03;567.21;632.775;632.785;18.54
704;1010;Einfach;33268;33289;5.5;3259.86;3799.97;3259.86;540.1025;540.105;18.46
58;100;Einfach;2398;2419;5.5;3192.38;3192.35;1558.41;1633.9675;1633.975;18.38
413;642;Aggressiv;21880;21901;5.5;3297.92;3297.88;1548.21;1749.6925;1749.7024999999999;18.35
756;1050;Aggressiv;34294;34315;5.5;3408.89;3800.0;2339.59;1460.41;1460.4175;18.26
216;401;Aggressiv;10434;10443;2.5;3539.93;3800.0;3539.93;260.0625;260.075;18.24
390;614;Einfach;20603;20618;4.0;3539.89;3800.0;3539.88;265.7325;265.735;18.24
664;955;Einfach;31956;31973;4.5;3510.84;3510.83;2361.78;1149.055;1149.0575000000001;18.24
422;654;Einfach;22422;22449;7.0;3539.91;3800.0;2945.24;854.755;854.7625;18.18
406;638;Aggressiv;21763;21778;4.0;3527.76;3800.0;2638.72;1161.28;1161.2775;18.12
316;528;Aggressiv;16094;16113;5.0;3539.93;3800.0;3473.59;533.655;533.6725;17.94
52;97;Einfach;2326;2347;5.5;3192.38;3799.95;1846.17;1953.7875000000001;1953.78;17.89
215;401;Einfach;10434;10443;2.5;3539.93;3799.92;3539.92;259.9825;259.9975;17.89
251;458;Aggressiv;13311;13322;3.0;3539.93;3800.0;3539.94;260.0625;260.065;17.84
612;880;Einfach;29875;29889;3.75;332.12;2608.79;332.12;2276.6725;2276.6675;17.77
405;638;Einfach;21763;21778;4.0;3527.76;3799.98;2822.06;977.9325;977.9200000000001;17.58
290;501;Einfach;14889;14905;4.25;496.11;1692.65;340.26;1352.4;1352.3849999999998;17.51
517;767;Einfach;26585;26606;5.5;3539.87;3539.86;1103.01;2436.8575;2436.855;17.5
649;928;Einfach;31254;31275;5.5;3431.49;3799.98;2709.31;1090.675;1090.6725000000001;17.36
796;1068;Einfach;34732;34745;3.5;3453.38;3730.59;2345.49;1385.095;1385.0875;17.29
506;758;Einfach;26341;26362;5.5;3144.67;3144.63;2175.31;969.3675000000001;969.3599999999999;17.28
580;838;Einfach;28697;28718;5.5;3305.91;3305.88;1456.23;1849.6775;1849.6875;17.28
732;1039;Einfach;34041;34062;5.5;3402.08;3799.97;2630.8;1169.1725;1169.1875;17.25
182;363;Aggressiv;8867;8885;4.75;566.22;566.2;202.97;363.24;363.26;17.22
250;458;Einfach;13311;13322;3.0;3539.93;3799.98;3539.94;260.0475;260.045;17.11
202;381;Einfach;9768;9789;5.5;3486.73;3486.73;2474.76;1011.9725000000001;1011.9675;17.07
764;1054;Einfach;34389;34409;5.25;2231.53;3800.0;2230.36;1569.6275;1569.655;17.03
50;96;Aggressiv;2302;2323;5.5;3192.38;3539.5;200.7;3338.8025;3338.795;17.01
430;668;Einfach;23095;23112;4.5;3383.16;3799.97;3363.95;438.46750000000003;438.465;17.0
361;574;Einfach;18543;18556;3.5;498.83;1650.36;216.34;1434.0025;1434.015;16.97
702;1009;Einfach;33242;33265;6.0;3258.91;3799.94;1598.69;2201.2475;2201.2475;16.8
817;1078;Entlade-Lade;35015;35038;6.0;3490.52;3490.5;2909.12;581.3925;581.39;16.8
298;508;Aggressiv;15176;15192;4.25;319.72;2692.96;242.55;2450.405;2450.3975;16.67
483;726;Entlade-Lade;25222;25243;5.5;3338.78;3338.78;2237.28;1101.505;1101.5;16.63
479;725;Einfach;25198;25219;5.5;3338.78;3799.97;3338.78;629.855;629.845;16.48
71;127;Einfach;3028;3049;5.5;3492.99;3799.98;3441.95;358.03999999999996;358.0275;16.26
684;981;Aggressiv;32572;32593;5.5;3418.32;3800.0;200.18;3599.8025000000002;3599.845;16.18
395;625;Einfach;21230;21241;3.0;402.86;1940.37;302.9;1637.4724999999999;1637.4675;16.16
662;953;Aggressiv;31890;31917;7.0;2941.16;3800.0;847.03;2952.97;2952.9575;16.15
167;345;Entlade-Lade;8350;8371;5.5;3318.67;3318.69;2229.59;1089.0675;1089.0900000000001;16.06
663;954;Einfach;31932;31953;5.5;3510.84;3799.98;1636.49;2163.485;2163.4775;15.98
26;41;Einfach;964;985;5.5;3454.92;3482.67;1781.02;1701.6625000000001;1701.66;15.97
445;687;Einfach;23673;23692;5.0;3409.03;3799.97;3371.15;529.0975;529.09;15.94
631;904;Aggressiv;30604;30614;2.75;3539.87;3539.87;1801.71;1738.1675;1738.1675;15.8
269;477;Einfach;13974;13995;5.5;3539.93;3800.0;3525.05;454.805;454.81000000000006;15.74
811;1075;Entlade-Lade;34931;34952;5.5;3477.34;3477.31;2833.48;643.87;643.86;15.73
